id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source
1069728102014701571,2018-12-03 23:00:28,RT @SeeMomClick: I've been home with a sick kiddo for the last week with no time or energy to cook dinner. So thankful for these EZ Meals o…,www.twitter.com/ernieemery/status/1069728102014701571,,0,1,"Anna, TX",1021,ernieemery,139,,False,http://twitter.com,Twitter Web Client
1069705226418974721,2018-12-03 21:29:34,"This coniferous🌲 horse🐎 statue🗽 is lit🔥. Badum-tss.
🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️
#jokes #funny #puns #punny #wegmans #jokeoftheday #horse #lights #christmaslights #christmastime #roc #rochesterny… https://t.co/dpJ9z3PZhI",www.twitter.com/bohumphries/status/1069705226418974721,"{'coordinates': [-77.6115, 43.1655], 'type': 'Point'}",0,0,"Rochester, NY",77,bohumphries,4,"{'coordinates': [43.1655, -77.6115], 'type': 'Point'}",False,http://instagram.com,Instagram
1069690397587374085,2018-12-03 20:30:39,I've been home with a sick kiddo for the last week with no time or energy to cook dinner. So thankful for these EZ Meals options from @Wegmans so we can all still eat a wholesome dinner without having to spend lots of time on prep. AD #Wegmans #LancasterPA Easy + delicious! https://t.co/Yyxd1fbm15,www.twitter.com/SeeMomClick/status/1069690397587374085,,3,1,"Lancaster, PA",95222,SeeMomClick,6089,,False,http://twitter.com,Twitter Web Client
1069683410636038145,2018-12-03 20:02:53,Can I just say this generic brand Advil from Wegmans is amazing. I took it like maybe a half hour ago for a headache and I feel perfectly fine now. #Wegmans #ComingInClutch #nomoreheadache,www.twitter.com/SamanthaRenee55/status/1069683410636038145,,0,0,NJ,68,SamanthaRenee55,76,,False,http://twitter.com,Twitter Web Client
1069657814979760128,2018-12-03 18:21:11,RT @TheoWampler: When your #salsa gives you a #boner. What poor sexually frustrated human is writing these descriptions for #wegmans betwee…,www.twitter.com/_forever_bliss/status/1069657814979760128,,0,1,"Philly, USA",1750,_forever_bliss,44475,,False,http://twitter.com/download/android,Twitter for Android
1069382150917640192,2018-12-03 00:05:47,Spotted at #Wegmans ❤️ @Wegmans https://t.co/lYMXau6uAI,www.twitter.com/perfectgranola/status/1069382150917640192,,9,0,"Rochester, NY",3048,perfectgranola,2298,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069339573090742280,2018-12-02 21:16:36,RT @SEPECC: Individually wrapped potatoes &amp; sweet potatoes. I just can’t. #wasteful #packaging #wegmans https://t.co/hUq9odFQoo,www.twitter.com/PremierPaperCM/status/1069339573090742280,,0,1,"New Berlin, WI.",2379,PremierPaperCM,681,,False,http://www.ppcm.net,PPCM Twitter Bots (labnol)
1069334766091153409,2018-12-02 20:57:30,"@Wegmans Check out this article about 7 reasons Wegmans is a SUPERSTORE!!!! All you WEGGIES out there, read, like, share and enjoy the CHEESE! #weggies #wegmans #supermarket #superstore https://t.co/qCXfIKsrqx",www.twitter.com/ShannonMulCREW/status/1069334766091153409,,0,0,,237,ShannonMulCREW,13650,,False,http://twitter.com,Twitter Web Client
1069332612030885888,2018-12-02 20:48:56,Individually wrapped potatoes &amp; sweet potatoes. I just can’t. #wasteful #packaging #wegmans https://t.co/hUq9odFQoo,www.twitter.com/SEPECC/status/1069332612030885888,,2,1,"Philadelphia region, USA",742,SEPECC,276,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069326457091092480,2018-12-02 20:24:29,Watch @HaleeWithaFlair's broadcast: Lights on the Lake #syracuse #wegmans #christmaslights #christmas https://t.co/6j5Af1HaYK,www.twitter.com/henson40/status/1069326457091092480,,0,0,U.K.,5920,henson40,201315,,False,https://periscope.tv,Periscope
1069306812145504258,2018-12-02 19:06:25,"Check out #Wegmans (Glenarden, MD) on @FoursquareGuide: https://t.co/uwPvpfr0Ip",www.twitter.com/FDAllenGroupInc/status/1069306812145504258,,0,0,"Flatiron, Manhattan NYC",6159,FDAllenGroupInc,56714,,False,http://twitter.com/download/android,Twitter for Android
1069260463685451777,2018-12-02 16:02:15,"I’m fascinated by grocery stores. Love #TraderJoes for spices, wine, and certain cuts of meat. #GiantFood for most of my baking needs. Excited to check out the remodeled #Safeway in my old neighborhood, and must make the journey to #Wegmans one day. What’s your favorite store?👩🏾‍🍳",www.twitter.com/jaithephotog/status/1069260463685451777,,2,0,"Washington, DC",884,jaithephotog,2001,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069259778189377537,2018-12-02 15:59:31,"RT @ae1279: Listen, if you miss your number at a crowded deli counter because you weren’t paying attention or walked away, you go to the en…",www.twitter.com/LookIntoMySole/status/1069259778189377537,,0,1,Lincoln Financial Field,1091,LookIntoMySole,28236,,False,http://twitter.com/download/android,Twitter for Android
1069257988987412480,2018-12-02 15:52:25,"Listen, if you miss your number at a crowded deli counter because you weren’t paying attention or walked away, you go to the end of the line. Sorry, take a new number. Or just stay and wait your turn and pay attention like the rest of us. #wegmans",www.twitter.com/ae1279/status/1069257988987412480,,2,1,,189,ae1279,6972,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069241123212877828,2018-12-02 14:45:23,"Missed connections: In #Wegmans over by the vegan freezer goods yesterday. You were the one with blonde hair and pink highlights. I was the one with lampshade on head as a hat. 

@Wegmans #Food #Foodie",www.twitter.com/scottsnj/status/1069241123212877828,,3,0,New Jersey,229,scottsnj,324,,False,http://twitter.com/download/iphone,Twitter for iPhone
1069170330101526529,2018-12-02 10:04:05,Amy’s with the new products. 🙌🏼 ravioli. found at #Wegmans #ravioli #veganfoodshare #vegan #food #yummy https://t.co/Gifdc04Yfc,www.twitter.com/scott_brown_ca/status/1069170330101526529,,0,0,"Carmel, CA",1340,scott_brown_ca,1246,,False,http://www.twitter.com,scott_brown_ca_tweet
1069025636126216192,2018-12-02 00:29:07,Holiday....Magical Brie &amp; Rose #vanderpumprose #holiday #family #wineandcheese #wegmans https://t.co/tGrHG4Ciuq,www.twitter.com/VivaLDiva/status/1069025636126216192,,0,0,Outside of Boston,241,VivaLDiva,824,,False,http://instagram.com,Instagram
1068992613829787648,2018-12-01 22:17:54,"Have you seen us a wegmans Alberta Drive location? #Buffalo stay tuned for dates when our #TeenCEO will be in store doing demos and product talks. 

#zandra
#wegmans #shoppinginbuffalo @… https://t.co/EueLoNS6xZ",www.twitter.com/ZandraBeauty/status/1068992613829787648,"{'coordinates': [-78.8159537, 42.98948883], 'type': 'Point'}",2,1,"Buffalo, NY ",1778,ZandraBeauty,1494,"{'coordinates': [42.98948883, -78.8159537], 'type': 'Point'}",False,http://instagram.com,Instagram
1068930857690386433,2018-12-01 18:12:30,"RT @CynthiaBenjamn: Had no idea this place existed, nor its connection to @Wegmans fresh veggies. How Interesting! 🥦🍅🥒 #ROC #History https:…",www.twitter.com/TomSudore/status/1068930857690386433,,0,1,"Rochester, NY",1005,TomSudore,6,,False,http://twitter.com,Twitter Web Client
1068930395327119361,2018-12-01 18:10:40,"Had no idea this place existed, nor its connection to @Wegmans fresh veggies. How Interesting! 🥦🍅🥒 #ROC #History https://t.co/MC9brNHJAO via @DandC #Wegmans",www.twitter.com/CynthiaBenjamn/status/1068930395327119361,,0,1,"Rochester, NY",13612,CynthiaBenjamn,7262,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068909700182364160,2018-12-01 16:48:26,#CityRidgeDC breaks ground at former #FannieMae site w #Wegmans as anchor https://t.co/OZFEeTu2sS,www.twitter.com/econdevPRpro/status/1068909700182364160,,0,0,"Washington, DC",857,econdevPRpro,1212,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068834492570394625,2018-12-01 11:49:35,"This crew won first place at the @RockwellMuseum ‘s Gingerbread Invitational with their vision of a futuristic, “green” #wegmans but ... it’s not over yet! Visit the museum throughout Dec and vote for your favorite! https://t.co/zSPgjebRjN",www.twitter.com/DustyHewit/status/1068834492570394625,,5,0,"Corning, NY",120,DustyHewit,593,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068628101352046592,2018-11-30 22:09:28,#GroceryStores want you to have a #beer and stay a while https://t.co/Z2BDRgX5pm via @voxdotcom #Kroger #WholeFoods #Wegmans #GroceryStore #Bars #News,www.twitter.com/DiabeticCyborgg/status/1068628101352046592,,0,0,"Longview, TX",5885,DiabeticCyborgg,25885,,False,http://twitter.com,Twitter Web Client
1068581141354037248,2018-11-30 19:02:52,"You can't go home again, but you can go to #wegmans",www.twitter.com/StrangeBirb/status/1068581141354037248,,1,0,,16,StrangeBirb,139,,False,https://mobile.twitter.com,Twitter Lite
1068556942388342785,2018-11-30 17:26:42,I love you James and I’m starting to realize that I love edamame so I making a piece of toast and I’m going to spread a little James on it for my lunch #Edamame #James #QuickLunch #wegmans… https://t.co/izzspMMhJl,www.twitter.com/LilleV1985/status/1068556942388342785,,0,0,St Somewhere USVI,298,LilleV1985,50,,False,http://instagram.com,Instagram
1068531318244425729,2018-11-30 15:44:53,RT @Wegmans: We can’t thank @greenphillyblog enough for helping us share our journey to Zero Waste! Feeling inspired? Here are some waste-r…,www.twitter.com/toriperri/status/1068531318244425729,,0,5,"Rochester, NY ",201,toriperri,6514,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068494960708734977,2018-11-30 13:20:24,"RT @SalsaCuse: Easy recipe, amazing taste! #holidayentertaining #wegmans #buylocal #cnyfood #CUSE https://t.co/qmtbmQmJcK",www.twitter.com/t_Mac_141/status/1068494960708734977,,0,1,Cazenovia,474,t_Mac_141,2587,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068492738272944128,2018-11-30 13:11:35,"Easy recipe, amazing taste! #holidayentertaining #wegmans #buylocal #cnyfood #CUSE https://t.co/qmtbmQmJcK",www.twitter.com/SalsaCuse/status/1068492738272944128,,4,1,Cazenovia CNY,1307,SalsaCuse,10985,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068334353036513281,2018-11-30 02:42:13,"@Wegmans really is the best, but it’s time they stop using styrofoam egg cartons. #GoGreen #Wegmans #Recycle",www.twitter.com/flourcitypunk/status/1068334353036513281,,0,0,The Flour City,50,flourcitypunk,817,,False,http://twitter.com/download/iphone,Twitter for iPhone
1068131945341771776,2018-11-29 13:17:55,"RT @bostonmedflight: December 8, 2018 Santa Claus and his helpers will be flying by helicopter*-weather permitting-into the Boston Common b…",www.twitter.com/devnul0/status/1068131945341771776,,0,4,"Waltham, MA",170,devnul0,5983,,False,https://twitterrific.com/ios,Twitterrific for iOS
1067961348422807553,2018-11-29 02:00:01,RT @MyVirtualVaca: @DCWriterMom @MetroCooking @washingtondc Hi Renee!! I love the Capitol City BBQ sauce! We get it at #Wegmans. #FoodTrave…,www.twitter.com/emptyplateadv/status/1067961348422807553,,0,1,,6159,emptyplateadv,11228,,False,http://twitter.com,Twitter Web Client
