id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_geo_coordinates,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source,mapping_location
1071265049199689729,2018-12-08 04:47:45,#Wegmans has a train 🚂! https://t.co/YxU6SZbmoE,www.twitter.com/josh_paye/status/1071265049199689729,,0,0,WNY,"{'lng': -78.806861, 'lat': 42.880959}",11,josh_paye,1332,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-78.806861,42.880959"
1071209911097458688,2018-12-08 01:08:39,"Hot dating wait you -&gt;&gt;&gt; https://t.co/0iNA7URdnO

#biggerthanbasketball #crafthousereston #wegmans https://t.co/7rT0J9KCCq",www.twitter.com/dayprovpiland/status/1071209911097458688,,0,0,,,0,dayprovpiland,0,,False,https://mobile.twitter.com,Twitter Lite,"-69.942848,37.176654"
1071198204677492737,2018-12-08 00:22:08,Get a chocolate cake while you’re at Wegmans  ..... um.... too many options! 🎂 🍰 #ilovecake #wegmans #dessert #cupcakes #dinner 😆 https://t.co/cUiuZ7UXwp,www.twitter.com/MacKidEmily/status/1071198204677492737,,0,0,"Clinton, MA","{'lng': -71.68290809999999, 'lat': 42.41676349999999}",94,MacKidEmily,476,,False,http://instagram.com,Instagram,"-71.68290809999999,42.41676349999999"
1071035453917315137,2018-12-07 13:35:25,RT @msfc59: #Byers Choice Carolers #Wegmans Chef with Basket of Vegetables Menu Pasta  https://t.co/6aUROI86B7 via @eBay #shipsASAP,www.twitter.com/msfc59/status/1071035453917315137,,0,1,"Williamsville, NY","{'lng': -78.73780909999999, 'lat': 42.963947}",2457,msfc59,17704,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-78.73780909999999,42.963947"
1070868792807485440,2018-12-07 02:33:10,"RT @Wegmans: We’re proud to be a great place to work for everyone, and we’re grateful to all of the women who are part of our Wegmans famil…",www.twitter.com/KelliRieppel/status/1070868792807485440,,0,42,USA,"{'lng': -95.712891, 'lat': 37.09024}",160,KelliRieppel,9713,,False,http://twitter.com/download/android,Twitter for Android,"-95.712891,37.09024"
1070862198757576705,2018-12-07 02:06:58,"If I rushed home to watch Jeopardy and I am currently drinking peppermint tea and eating tapioca pudding, does that put me in the 80+ age bracket? All items being consumed were purchased from #wegmans if you were wondering..",www.twitter.com/jordaneeeeee/status/1070862198757576705,,4,0,"Massachusetts, USA","{'lng': -71.3824374, 'lat': 42.4072107}",148,jordaneeeeee,2421,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-71.3824374,42.4072107"
1070840910131458048,2018-12-07 00:42:22,"Welp, it looks like we did it again...  #Wegmans https://t.co/i0odxoPRoN",www.twitter.com/AnthonyPompo/status/1070840910131458048,,2,0,Tampacuse,,174,AnthonyPompo,1021,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-69.942848,37.176654"
1070836764980535298,2018-12-07 00:25:54,Things I’m grateful for today: #wegmans and extremely pleasant volunteers creating 20+ fleece blankets. Mostly wegmans tho,www.twitter.com/jordaneeeeee/status/1070836764980535298,,1,0,"Massachusetts, USA","{'lng': -71.3824374, 'lat': 42.4072107}",148,jordaneeeeee,2421,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-71.3824374,42.4072107"
1070791108303708162,2018-12-06 21:24:29,"RT @coupns4urfamily: Free Groceries this week 12/2-12/8:  FREE Hodgson Mill Yeast, Annie's Mac &amp; Cheese &amp; more -https://t.co/3OKiz58a9s
#Fr…",www.twitter.com/sufferingsoul14/status/1070791108303708162,,0,2,united states,"{'lng': -95.712891, 'lat': 37.09024}",495,sufferingsoul14,10854,,False,http://twitter.com,Twitter Web Client,"-95.712891,37.09024"
1070771102836764674,2018-12-06 20:04:59,The man who police say exposed himself twice to women at a #Wegmans has turned himself in. https://t.co/EniusPR0fW,www.twitter.com/69News/status/1070771102836764674,,0,0,"Allentown, PA","{'lng': -75.4714098, 'lat': 40.6022939}",125347,69News,1787,,False,http://www.socialnewsdesk.com,SocialNewsDesk,"-75.4714098,40.6022939"
