id,created_at_utc,tweet_text,tweet_url,geo_coordinates,fav_count_or_likes,retweet_count,author_location,author_geo_coordinates,author_followers_count,author_screen_name,author_fav_count,geo,retweeted,source url,source,mapping_location
1070868792807490000,2018-12-07 02:33:10,"RT @Wegmans: We’re proud to be a great place to work for everyone, and we’re grateful to all of the women who are part of our Wegmans famil…",www.twitter.com/KelliRieppel/status/1070868792807485440,,0,42,USA,"{'lng': -95.712891, 'lat': 37.09024}",160,KelliRieppel,9705,,False,http://twitter.com/download/android,Twitter for Android,"-95.712891,37.09024"
1070862198757580000,2018-12-07 02:06:58,"If I rushed home to watch Jeopardy and I am currently drinking peppermint tea and eating tapioca pudding, does that put me in the 80+ age bracket? All items being consumed were purchased from #wegmans if you were wondering..",www.twitter.com/jordaneeeeee/status/1070862198757576705,,4,0,"Massachusetts, USA","{'lng': -71.3824374, 'lat': 42.4072107}",148,jordaneeeeee,2417,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-71.3824374,42.4072107"
1070840910131460000,2018-12-07 00:42:22,"Welp, it looks like we did it again...  #Wegmans https://t.co/i0odxoPRoN",www.twitter.com/AnthonyPompo/status/1070840910131458048,,1,0,Tampacuse,,173,AnthonyPompo,1018,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-69.942848,37.176654"
1070836764980540000,2018-12-07 00:25:54,Things I’m grateful for today: #wegmans and extremely pleasant volunteers creating 20+ fleece blankets. Mostly wegmans tho,www.twitter.com/jordaneeeeee/status/1070836764980535298,,1,0,"Massachusetts, USA","{'lng': -71.3824374, 'lat': 42.4072107}",148,jordaneeeeee,2417,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-71.3824374,42.4072107"
1070791108303710000,2018-12-06 21:24:29,"RT @coupns4urfamily: Free Groceries this week 12/2-12/8:  FREE Hodgson Mill Yeast, Annie's Mac &amp; Cheese &amp; more -https://t.co/3OKiz58a9s
#Fr…",www.twitter.com/sufferingsoul14/status/1070791108303708162,,0,2,united states,"{'lng': -95.712891, 'lat': 37.09024}",491,sufferingsoul14,10806,,False,http://twitter.com,Twitter Web Client,"-95.712891,37.09024"
1070771102836760000,2018-12-06 20:04:59,The man who police say exposed himself twice to women at a #Wegmans has turned himself in. https://t.co/EniusPR0fW,www.twitter.com/69News/status/1070771102836764674,,0,0,"Allentown, PA","{'lng': -75.4714098, 'lat': 40.6022939}",125334,69News,1787,,False,http://www.socialnewsdesk.com,SocialNewsDesk,"-75.4714098,40.6022939"
1070715756286000000,2018-12-06 16:25:03,"RT @LivingSafely: Missed It? #Wegmans Chocolate &amp; #Nut Tray Recall: https://t.co/varfc2qKWT • What do they look like? https://t.co/0OSrA87Sc5 • You can now search over 10,900 more #recalls at https://t.co/R3QeK01oO0 or sign-up for our #free Auto-Notify service.",www.twitter.com/LS_Health/status/1070715756286001152,,0,0,Worldwide,"{'lng': -95.266826, 'lat': 36.249758}",2560,LS_Health,0,,False,https://www.hootsuite.com,Hootsuite Inc.,"-95.266826,36.249758"
1070705215580590000,2018-12-06 15:43:10,RT @news4buffalo: Curbside grocery pickup is expanding to #Wegmans' store on Transit Rd. https://t.co/Mx3znUYkLA,www.twitter.com/collin_gehl/status/1070705215580594181,,0,1,"Buffalo, NY","{'lng': -78.8783689, 'lat': 42.88644679999999}",979,collin_gehl,115527,,False,http://twitter.com/download/iphone,Twitter for iPhone,"-78.8783689,42.88644679999999"
1070704751082380000,2018-12-06 15:41:20,Curbside grocery pickup is expanding to #Wegmans' store on Transit Rd. https://t.co/Mx3znUYkLA,www.twitter.com/news4buffalo/status/1070704751082377217,,4,1,"Buffalo, NY","{'lng': -78.8783689, 'lat': 42.88644679999999}",165327,news4buffalo,1051,,False,http://www.socialnewsdesk.com,SocialNewsDesk,"-78.8783689,42.88644679999999"
1070702460862430000,2018-12-06 15:32:14,"Food Safety: Missed It? #Wegmans Chocolate &amp; #Nut Tray Recall: https://t.co/HvdNA833XE • What do they look like? https://t.co/OuQu2wvlMB • You can now search over 10,900 more #recalls https://t.co/EuRm6K6sdJ or sign-up for our #free Auto-Notify service.",www.twitter.com/LivingSafely/status/1070702460862427136,,0,0,Worldwide,"{'lng': -95.266826, 'lat': 36.249758}",7594,LivingSafely,0,,False,https://www.hootsuite.com,Hootsuite Inc.,"-95.266826,36.249758"
